time_stamp,sender_avg_rtt_value,sender_pacing_rate,sender_cwnd_rate,sender_avg_retransmission_timeout_value,sender_byte_ack,sender_seg_out,sender_retrans,sender_ssthresh_value,sender_segs_in,sender_avg_send_value,sender_unacked_value,sender_send_buffer_value,sender_avg_dsack_dups_value,sender_avg_reord_seen,sender_rchar,sender_wchar,sender_syscr,sender_syscw,sender_read_bytes_io,sender_write_bytes_io,sender_num_threads,sender_vsize,sender_rss,sender_cpu_usage_percentage,sender_mem_usage_percentage,sender_tcp_rcv_buffer_min,sender_tcp_rcv_buffer_default,sender_tcp_rcv_buffer_max,sender_tcp_snd_buffer_min,sender_tcp_snd_buffer_default,sender_tcp_snd_buffer_max,sender_req_waittime,sender_req_active,sender_read_bytes,sender_write_bytes,sender_ost_setattr,sender_ost_read,sender_ost_write,sender_ost_get_info,sender_ost_connect,sender_ost_punch,sender_ost_statfs,sender_ost_sync,sender_ost_quotactl,sender_ldlm_cancel,sender_obd_ping,sender_pending_read_pages,sender_read_RPCs_in_flight,sender_avg_waittime_md,sender_inflight_md,sender_req_waittime_md,sender_req_active_md,sender_mds_getattr_md,sender_mds_getattr_lock_md,sender_mds_close_md,sender_mds_readpage_md,sender_ldlm_cancel_md,sender_obd_ping_md,sender_close_md,sender_create_md,sender_intent_lock_md,sender_setattr_md,sender_read_page_md,sender_unlink_md,sender_system_cpu_percent,sender_system_memory_percent,sender_nic_send_bytes,sender_nic_receive_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_lustre_read_bytes,sender_dtn_lustre_write_bytes,receiver_avg_rtt_value,receiver_pacing_rate,receiver_cwnd_rate,receiver_avg_retransmission_timeout_value,receiver_byte_ack,receiver_seg_out,receiver_retrans,receiver_ssthresh_value,receiver_segs_in,receiver_avg_send_value,receiver_unacked_value,receiver_send_buffer_value,receiver_avg_dsack_dups_value,receiver_avg_reord_seen,receiver_rchar,receiver_wchar,receiver_syscr,receiver_syscw,receiver_read_bytes_io,receiver_write_bytes_io,receiver_num_threads,receiver_vsize,receiver_rss,receiver_cpu_usage_percentage,receiver_mem_usage_percentage,receiver_tcp_rcv_buffer_min,receiver_tcp_rcv_buffer_default,receiver_tcp_rcv_buffer_max,receiver_tcp_snd_buffer_min,receiver_tcp_snd_buffer_default,receiver_tcp_snd_buffer_max,receiver_req_waittime,receiver_req_active,receiver_read_bytes,receiver_write_bytes,receiver_ost_setattr,receiver_ost_read,receiver_ost_write,receiver_ost_get_info,receiver_ost_connect,receiver_ost_punch,receiver_ost_statfs,receiver_ost_sync,receiver_ost_quotactl,receiver_ldlm_cancel,receiver_obd_ping,receiver_pending_read_pages,receiver_read_RPCs_in_flight,receiver_avg_waittime_md,receiver_inflight_md,receiver_req_waittime_md,receiver_req_active_md,receiver_mds_getattr_md,receiver_mds_getattr_lock_md,receiver_mds_close_md,receiver_mds_readpage_md,receiver_ldlm_cancel_md,receiver_obd_ping_md,receiver_close_md,receiver_create_md,receiver_intent_lock_md,receiver_setattr_md,receiver_read_page_md,receiver_unlink_md,receiver_system_cpu_percent,receiver_system_memory_percent,receiver_nic_send_bytes,receiver_nic_receive_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_lustre_read_bytes,receiver_dtn_lustre_write_bytes,through_put,label_value
1674265829.358453,0.291,8746.4,110.0,201.0,378.9630126953125,275400.0,0.0,39.0,5847.0,4378.8,110.0,223744,0,0,784954165,185,6528,13,893816832,36864,18,36772229120,34087,56.2,0.0826615070094591,4096,87380,6291456,4096,16384,153600,3767165.0,379.0,427819008.0,0.0,0.0,3767165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,708.0,0.0,2218.0,5.0,0.0,414.0,811.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,3.5,1.6,280988,451857464,423624704.0,0.0,320995328.0,0.0,0.0,0.0,10.0,4422.0,0.0,4894.0,0.0,0,276559.0,0.0,0,0,0,0,1117883,926444540,517,9625,46014464,926638080,19,36841304064,33968,83.7,0.0823729301521784,4096,87380,6291456,4096,16384,4194304,1821314.0,243.0,0.0,415232392.0,0.0,0.0,1821314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,422054080,533082,0.0,406842280.0,0.0,391992744.0,2.9552239775657654,38
1674265830.359492,0.171,15366.7,114.0,201.0,432.8162841796875,314764.0,0.0,39.0,5979.0,7722.7,56.0,122808,0,0,1238988270,185,9994,13,1346801664,45056,18,36772229120,34087,61.0,0.0826615070094591,4096,87380,6291456,4096,16384,153600,3007890.0,383.0,452984832.0,0.0,0.0,3007890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.7,300826,460623124,440401920.0,0.0,407371776.0,0.0,0.0,0.0,10.0,4422.0,0.0,6167.0,0.0,0,308105.0,0.0,0,0,0,0,1117883,1372370556,517,14096,46014464,1372442624,19,36841304064,34009,74.2,0.0824723557920818,4096,87380,6291456,4096,16384,4194304,3730881.0,520.0,0.0,440400416.0,0.0,0.0,3730881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.7,466712896,557286,0.0,473956352.0,0.0,420272024.0,3.2890625,38
1674265831.360548,0.194,12975.3,109.0,201.0,440.0690460205078,319787.0,1.0,79.0,8373.0,6508.5,64.0,94128,0,0,1700492782,185,13515,13,1799786496,45056,18,36772229120,34088,58.0,0.0826639320250665,4096,87380,6291456,4096,16384,153600,3394351.0,486.0,448790528.0,0.0,0.0,3394351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.7,314814,469399296,448790528.0,0.0,452722688.0,0.0,0.0,0.0,10.0,4422.0,0.0,9679.0,0.0,0,345961.0,0.0,0,0,0,0,1119318,1870659891,520,20542,46145536,1870741504,19,36841304064,34522,75.0,0.0837163887986783,4096,87380,6291456,4096,16384,4194304,5554961.0,649.0,0.0,436203968.0,0.0,0.0,5554961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7,464453442,471110,0.0,436203968.0,0.0,462934720.0,3.427421510219574,38
1674265832.361617,0.161,16471.8,115.0,201.0,501.2396697998047,364585.0,0.0,79.0,8964.0,8274.3,64.0,0,0,0,2224257193,185,17513,13,2319880192,49152,18,36772229120,34097,69.0,0.0826857571655331,4096,87380,6291456,4096,16384,153600,7806816.0,1031.0,515899392.0,0.0,0.0,7806816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4096.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.7,454790,532049546,507510784.0,0.0,465043456.0,0.0,0.0,0.0,10.0,4422.0,0.0,8470.0,0.0,0,365552.0,0.0,0,0,0,0,1119318,2399195771,520,26425,46145536,2399281152,19,36841304064,34522,77.8,0.0837163887986783,4096,87380,6291456,4096,16384,4194304,9289853.0,1135.0,0.0,490733568.0,0.0,0.0,9289853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.8,508438718,436722,0.0,461373440.0,0.0,470953280.0,3.904253721237183,38
1674265833.362668,0.211,13137.2,120.0,201.0,480.0,348709.0,0.0,79.0,6938.0,6588.1,64.0,0,0,0,2727573673,185,21353,13,2823196672,49152,18,36772229120,34097,48.9,0.0826857571655331,4096,87380,6291456,4096,16384,153600,8964653.0,1099.0,511705088.0,0.0,0.0,8964653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2048.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.8,753136,533951352,507510784.0,0.0,533331968.0,0.0,0.0,0.0,10.0,4422.0,0.0,6923.0,0.0,0,347272.0,0.0,0,0,0,0,1120019,2900347739,522,31473,46145536,2900430848,19,36841304064,34522,73.9,0.0837163887986783,4096,87380,6291456,4096,16384,4194304,9328873.0,1062.0,0.0,465567744.0,0.0,0.0,9328873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.8,486198710,385300,0.0,473956352.0,0.0,527561904.0,3.751953125,38
1674265834.363687,0.163,17158.9,121.0,201.0,480.7907104492188,349786.0,0.0,79.0,7647.0,8599.2,45.0,88384,0,0,3233774436,185,25217,13,3343290368,49152,18,36772229120,34097,61.0,0.0826857571655331,4096,87380,6291456,4096,16384,153600,8979886.0,1102.0,511705088.0,0.0,0.0,8979886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.8,543914,532988144,507510784.0,0.0,513277952.0,0.0,0.0,0.0,10.0,4422.0,0.0,7238.0,0.0,0,352496.0,0.0,0,0,0,0,1120720,3408424107,524,36580,46145536,3408625664,19,36841304064,34523,72.9,0.0837188138142857,4096,87380,6291456,4096,16384,4194304,9208958.0,1090.0,0.0,469762048.0,0.0,0.0,9208958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.8,491317410,409496,0.0,478150656.0,0.0,518384664.0,3.7529296875,38
1674265835.364726,0.233,12018.6,121.0,201.0,482.87571716308594,350865.0,0.0,79.0,5549.0,6015.7,121.0,218704,0,0,3738401636,185,29067,13,3846606848,49152,18,36772229120,34111,46.0,0.0827197073840367,4096,87380,6291456,4096,16384,153600,8994552.0,1100.0,511705088.0,0.0,0.0,8994552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5120.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,640354,533550520,507510784.0,0.0,513802240.0,0.0,0.0,0.0,10.0,4422.0,0.0,5075.0,0.0,0,349830.0,0.0,0,0,0,0,1121421,3913810227,526,40804,46145536,3913891840,19,36841304064,34523,72.9,0.0837188138142857,4096,87380,6291456,4096,16384,4194304,9337857.0,1087.0,0.0,473956352.0,0.0,0.0,9337857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.9,491316816,398078,0.0,469762048.0,0.0,513483624.0,3.7724609375,38
1674265836.365472,0.212,13316.8,122.0,201.0,480.3335723876953,348782.0,0.0,79.0,5644.0,6666.3,121.0,0,0,0,4242242404,185,32911,13,4349923328,49152,18,36772229120,34111,46.0,0.0827197073840367,4096,87380,6291456,4096,16384,153600,9033284.0,1108.0,515899392.0,0.0,0.0,9033284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.9,737494,534675546,507510784.0,0.0,514064384.0,0.0,0.0,0.0,10.0,4422.0,0.0,6131.0,0.0,0,349982.0,0.0,0,0,0,0,1121421,4418699752,526,45494,46145536,4418854912,19,36841304064,35035,72.1,0.0849604218052747,4096,87380,6291456,4096,16384,4194304,9278121.0,1136.0,0.0,490733568.0,0.0,0.0,9278121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.9,508865352,445906,0.0,490733568.0,0.0,514510480.0,3.763202369213104,38
1674265837.366504,0.206,13712.5,122.0,201.0,481.80590057373047,350064.0,0.0,79.0,6695.0,6860.4,49.0,72456,0,0,4748966756,185,36777,13,4853239808,49152,18,36772229120,34111,48.9,0.0827197073840367,4096,87380,6291456,4096,16384,153600,8932351.0,1099.0,511705088.0,0.0,0.0,8932351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5120.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.9,807760,535204830,507510784.0,0.0,515244032.0,0.0,0.0,0.0,10.0,4422.0,0.0,6534.0,0.0,0,350668.0,0.0,0,0,0,0,1121421,4924111128,526,50287,46145536,4924194816,19,36841304064,35035,74.8,0.0849604218052747,4096,87380,6291456,4096,16384,4194304,9270226.0,1065.0,0.0,465567744.0,0.0,0.0,9270226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0,486490026,393186,0.0,457179136.0,0.0,509213968.0,3.7796149253845215,38
1674265838.367545,0.272,10792.6,127.0,201.0,481.94189453125,350216.0,0.0,79.0,4681.0,5408.7,127.0,249056,0,0,5254380388,185,40633,13,5356556288,49152,18,36772229120,34111,49.9,0.0827197073840367,4096,87380,6291456,4096,16384,153600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5120.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.0,776108,534200674,507510784.0,0.0,509607936.0,0.0,0.0,0.0,10.0,4422.0,0.0,3855.0,0.0,0,349017.0,0.0,0,0,0,0,1121421,5428138048,526,54200,46145536,5428219904,19,36841304064,35035,85.9,0.0849604218052747,4096,87380,6291456,4096,16384,4194304,9210920.0,1094.0,0.0,478150656.0,0.0,0.0,9210920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.0,496605386,414718,0.0,478150656.0,0.0,515113712.0,3.756561040878296,38
