time_stamp,sender_avg_rtt_value,sender_pacing_rate,sender_cwnd_rate,sender_avg_retransmission_timeout_value,sender_byte_ack,sender_seg_out,sender_retrans,sender_ssthresh_value,sender_segs_in,sender_avg_send_value,sender_unacked_value,sender_send_buffer_value,sender_avg_dsack_dups_value,sender_avg_reord_seen,sender_rchar,sender_wchar,sender_syscr,sender_syscw,sender_read_bytes_io,sender_write_bytes_io,sender_num_threads,sender_vsize,sender_rss,sender_cpu_usage_percentage,sender_mem_usage_percentage,sender_tcp_rcv_buffer_min,sender_tcp_rcv_buffer_default,sender_tcp_rcv_buffer_max,sender_tcp_snd_buffer_min,sender_tcp_snd_buffer_default,sender_tcp_snd_buffer_max,sender_req_waittime,sender_req_active,sender_read_bytes,sender_write_bytes,sender_ost_setattr,sender_ost_read,sender_ost_write,sender_ost_get_info,sender_ost_connect,sender_ost_punch,sender_ost_statfs,sender_ost_sync,sender_ost_quotactl,sender_ldlm_cancel,sender_obd_ping,sender_pending_read_pages,sender_read_RPCs_in_flight,sender_avg_waittime_md,sender_inflight_md,sender_req_waittime_md,sender_req_active_md,sender_mds_getattr_md,sender_mds_getattr_lock_md,sender_mds_close_md,sender_mds_readpage_md,sender_ldlm_cancel_md,sender_obd_ping_md,sender_close_md,sender_create_md,sender_intent_lock_md,sender_setattr_md,sender_read_page_md,sender_unlink_md,sender_system_cpu_percent,sender_system_memory_percent,sender_nic_send_bytes,sender_nic_receive_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_lustre_read_bytes,sender_dtn_lustre_write_bytes,receiver_avg_rtt_value,receiver_pacing_rate,receiver_cwnd_rate,receiver_avg_retransmission_timeout_value,receiver_byte_ack,receiver_seg_out,receiver_retrans,receiver_ssthresh_value,receiver_segs_in,receiver_avg_send_value,receiver_unacked_value,receiver_send_buffer_value,receiver_avg_dsack_dups_value,receiver_avg_reord_seen,receiver_rchar,receiver_wchar,receiver_syscr,receiver_syscw,receiver_read_bytes_io,receiver_write_bytes_io,receiver_num_threads,receiver_vsize,receiver_rss,receiver_cpu_usage_percentage,receiver_mem_usage_percentage,receiver_tcp_rcv_buffer_min,receiver_tcp_rcv_buffer_default,receiver_tcp_rcv_buffer_max,receiver_tcp_snd_buffer_min,receiver_tcp_snd_buffer_default,receiver_tcp_snd_buffer_max,receiver_req_waittime,receiver_req_active,receiver_read_bytes,receiver_write_bytes,receiver_ost_setattr,receiver_ost_read,receiver_ost_write,receiver_ost_get_info,receiver_ost_connect,receiver_ost_punch,receiver_ost_statfs,receiver_ost_sync,receiver_ost_quotactl,receiver_ldlm_cancel,receiver_obd_ping,receiver_pending_read_pages,receiver_read_RPCs_in_flight,receiver_avg_waittime_md,receiver_inflight_md,receiver_req_waittime_md,receiver_req_active_md,receiver_mds_getattr_md,receiver_mds_getattr_lock_md,receiver_mds_close_md,receiver_mds_readpage_md,receiver_ldlm_cancel_md,receiver_obd_ping_md,receiver_close_md,receiver_create_md,receiver_intent_lock_md,receiver_setattr_md,receiver_read_page_md,receiver_unlink_md,receiver_system_cpu_percent,receiver_system_memory_percent,receiver_nic_send_bytes,receiver_nic_receive_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_lustre_read_bytes,receiver_dtn_lustre_write_bytes,through_put,label_value
1674773630.252001,0.509,12456.3,274.0,201.0,132.3655548095703,95831.0,0.0,54.0,790.0,6235.8,135.0,0,0,0,160659184,185,1765,13,235282432,32768,20,36705120256,33290,27.1,0.0807287695703609,4096,87380,6291456,4096,16384,4194304,2536460.0,125.0,125829120.0,0.0,0.0,2536460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,557.0,0.0,2392.0,5.0,0.0,439.0,901.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,1.5,1.6,97222,111196722,503316480.0,0.0,9699328.0,0.0,0,0,10.0,207.0,0.0,911.0,0,0,113099.0,0,0,0,0,0,1119505,188743812,519,1548,46960640,188788736,21,36977627136,37363,42.5,0.0906058581393029,4096,87380,6291456,4096,16384,4194304,4173668.0,169.0,0.0,96395264.0,0.0,0.0,4173668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,8736.0,20.0,0.0,481.0,2472.0,925.0,1650.0,0.0,5.0,0.0,13.0,0.0,2.0,0.0,1.5,1.7,105218614,155123,0.0,515825664.0,0.0,8313864.0,1.1181640625,49
1674773631.253011,0.335,16101.8,233.0,201.0,240.0,174248.0,39.0,231.0,1514.0,8056.9,135.0,0,0,0,412317424,185,3685,13,507912192,36864,20,36705120256,33290,40.1,0.0807287695703609,4096,87380,6291456,4096,16384,4194304,8363953.0,527.0,251658240.0,0.0,0.0,8363953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,165066,247526650,507510784.0,0.0,120324096.0,0.0,0,0,10.0,207.0,0.0,1474.0,0,0,165708.0,0,0,0,0,0,1119505,425984132,519,3358,46960640,426029056,21,36977627136,37363,55.7,0.0906058581393029,4096,87380,6291456,4096,16384,4194304,8764301.0,380.0,0.0,163577856.0,0.0,0.0,8764301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,184247664,167521,0.0,507510784.0,0.0,119219192.0,1.75390625,49
1674773632.254063,0.392,19283.3,327.0,201.0,252.0,182893.0,0.0,231.0,1543.0,9663.2,135.0,0,0,0,676559279,185,5703,13,776347648,40960,19,36705120256,33395,44.9,0.080983396209138,4096,87380,6291456,4096,16384,4194304,8563811.0,552.0,260046848.0,0.0,0.0,8563811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6144.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.7,180074,274515130,507510784.0,0.0,243531776.0,0.0,0,0,10.0,207.0,0.0,1455.0,0,0,175430.0,0,0,0,0,0,1120241,680526104,520,5302,47091712,680579072,21,36977627136,37876,60.9,0.0918498911458994,4096,87380,6291456,4096,16384,4194304,9419139.0,351.0,0.0,155189248.0,0.0,0.0,9419139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,157927170,105707,0.0,494927872.0,0.0,233177088.0,1.96875,49
1674773633.255113,0.42,20043.1,364.0,201.0,244.0,177146.0,0.0,231.0,1571.0,10039.5,135.0,0,0,0,932413231,185,7659,13,1028005888,40960,18,36705120256,33397,44.9,0.0809882462403528,4096,87380,6291456,4096,16384,4194304,9168022.0,552.0,260046848.0,0.0,0.0,9168022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.7,176722,267600052,515899392.0,0.0,278790144.0,0.0,0,0,10.0,207.0,0.0,1628.0,0,0,181567.0,0,0,0,0,0,1122354,943718680,526,7310,47091712,943771648,19,36977627136,37911,62.9,0.0919347666921584,4096,87380,6291456,4096,16384,4194304,9310168.0,351.0,0.0,155189248.0,0.0,0.0,9310168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,169563880,122301,0.0,486539264.0,0.0,282494912.0,1.986328125,49
1674773634.256164,0.399,19653.3,339.0,201.0,239.4799118041992,173835.0,7.0,259.0,1354.0,9842.0,39.0,545352,0,0,1184071471,185,9579,13,1279664128,45056,18,36705120256,33397,40.0,0.0809882462403528,4096,87380,6291456,4096,16384,4194304,8817625.0,568.0,264241152.0,0.0,0.0,8817625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1024.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,169400,271989392,511705088.0,0.0,253886464.0,0.0,0,0,10.0,207.0,0.0,1345.0,0,0,173648.0,0,0,0,0,0,1123768,1192886552,530,9213,47091712,1192939520,19,36977627136,37918,61.0,0.0919517418014102,4096,87380,6291456,4096,16384,4194304,10256525.0,369.0,0.0,163577856.0,0.0,0.0,10256525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,163836026,129083,0.0,490733568.0,0.0,248215616.0,1.8466796875,49
1674773635.257175,0.531,16001.2,367.0,201.0,224.5200881958008,162971.0,0.0,259.0,1440.0,8006.3,39.0,0,0,0,1420132143,185,11380,13,1531322368,45056,18,36705120256,33397,40.0,0.0809882462403528,4096,87380,6291456,4096,16384,4194304,8877274.0,550.0,255852544.0,0.0,0.0,8877274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,191218,267608476,515899392.0,0.0,255590400.0,0.0,0,0,10.0,207.0,0.0,1700.0,0,0,188559.0,0,0,0,0,0,1124475,1464718992,532,11288,47091712,1464774656,19,36977627136,37919,61.1,0.0919541668170176,4096,87380,6291456,4096,16384,4194304,8637819.0,317.0,0.0,142606336.0,0.0,0.0,8637819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.8,153540672,108511,0.0,432013312.0,0.0,270401536.0,1.865234375,49
1674773636.258218,0.375,23746.2,385.0,201.0,264.4474182128906,192182.0,0.0,259.0,1752.0,11892.9,154.0,2699648,0,0,1699970863,185,13515,13,1799757824,45056,18,36705120256,33397,46.0,0.0809882462403528,4096,87380,6291456,4096,16384,4194304,9011981.0,543.0,260046848.0,0.0,0.0,9011981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2048.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,183618,276379242,511705088.0,0.0,251658240.0,0.0,0,0,10.0,207.0,0.0,1503.0,0,0,168478.0,0,0,0,0,0,1125889,1707361528,536,13141,47091712,1707417600,19,36977627136,37919,56.9,0.0919541668170176,4096,87380,6291456,4096,16384,4194304,9441330.0,319.0,0.0,146800640.0,0.0,0.0,9441330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.8,154747846,99991,0.0,419430400.0,0.0,251658240.0,1.9140625,49
1674773637.258466,0.457,20295.7,401.0,201.0,231.55258178710935,168008.0,0.0,259.0,1373.0,10164.5,154.0,0,0,0,1939046191,185,15339,13,2034638848,45056,18,36705120256,33397,43.0,0.0809882462403528,4096,87380,6291456,4096,16384,4194304,8878110.0,551.0,255852544.0,0.0,0.0,8878110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1024.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,185256,263309056,515899392.0,0.0,270925824.0,0.0,0,0,10.0,207.0,0.0,1460.0,0,0,176777.0,0,0,0,0,0,1125889,1962672567,536,15090,47091712,1962729472,19,36977627136,38432,61.0,0.093198199823614,4096,87380,6291456,4096,16384,4194304,9118042.0,302.0,0.0,130023424.0,0.0,0.0,9118042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.8,139172012,93479,0.0,432013312.0,0.0,256770048.0,1.9375,49
1674773638.259517,0.315,30228.7,411.0,201.0,256.0,185906.0,0.0,259.0,1672.0,15114.4,154.0,0,0,0,2207482354,185,17389,13,2303074304,45056,18,36705120256,33401,47.9,0.0809979463027824,4096,87380,6291456,4096,16384,4194304,9141876.0,556.0,260046848.0,0.0,0.0,9141876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,166638,265662188,511705088.0,0.0,247463936.0,0.0,0,0,10.0,207.0,0.0,1550.0,0,0,172533.0,0,0,0,0,0,1125889,2214592951,536,17012,47091712,2214649856,19,36977627136,38432,55.9,0.093198199823614,4096,87380,6291456,4096,16384,4194304,10375389.0,545.0,0.0,243269632.0,0.0,0.0,10375389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.9,197407020,127009,0.0,360710144.0,0.0,259129344.0,1.88671875,49
1674773639.260531,0.374,25718.2,416.0,201.0,228.0,165595.0,0.0,259.0,1363.0,12884.9,154.0,0,0,0,2446557682,185,19213,13,2554732544,45056,18,36705120256,33401,41.9,0.0809979463027824,4096,87380,6291456,4096,16384,4194304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,187108,269537784,515899392.0,0.0,274333696.0,0.0,0,0,10.0,207.0,0.0,1507.0,0,0,180119.0,0,0,0,0,0,1125889,2473066935,536,18985,47091712,2473123840,19,36977627136,38449,60.9,0.0932394250889398,4096,87380,6291456,4096,16384,4194304,8217143.0,593.0,0.0,264241152.0,0.0,0.0,8217143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,333397614,220861,0.0,503316480.0,0.0,274071552.0,1.8076171875,49
