time_stamp,sender_avg_rtt_value,sender_pacing_rate,sender_cwnd_rate,sender_avg_retransmission_timeout_value,sender_byte_ack,sender_seg_out,sender_retrans,sender_ssthresh_value,sender_segs_in,sender_avg_send_value,sender_unacked_value,sender_send_buffer_value,sender_avg_dsack_dups_value,sender_avg_reord_seen,sender_rchar,sender_wchar,sender_syscr,sender_syscw,sender_read_bytes_io,sender_write_bytes_io,sender_num_threads,sender_vsize,sender_rss,sender_cpu_usage_percentage,sender_mem_usage_percentage,sender_tcp_rcv_buffer_min,sender_tcp_rcv_buffer_default,sender_tcp_rcv_buffer_max,sender_tcp_snd_buffer_min,sender_tcp_snd_buffer_default,sender_tcp_snd_buffer_max,sender_req_waittime,sender_req_active,sender_read_bytes,sender_write_bytes,sender_ost_setattr,sender_ost_read,sender_ost_write,sender_ost_get_info,sender_ost_connect,sender_ost_punch,sender_ost_statfs,sender_ost_sync,sender_ost_quotactl,sender_ldlm_cancel,sender_obd_ping,sender_pending_read_pages,sender_read_RPCs_in_flight,sender_avg_waittime_md,sender_inflight_md,sender_req_waittime_md,sender_req_active_md,sender_mds_getattr_md,sender_mds_getattr_lock_md,sender_mds_close_md,sender_mds_readpage_md,sender_ldlm_cancel_md,sender_obd_ping_md,sender_close_md,sender_create_md,sender_intent_lock_md,sender_setattr_md,sender_read_page_md,sender_unlink_md,sender_system_cpu_percent,sender_system_memory_percent,sender_nic_send_bytes,sender_nic_receive_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_lustre_read_bytes,sender_dtn_lustre_write_bytes,receiver_avg_rtt_value,receiver_pacing_rate,receiver_cwnd_rate,receiver_avg_retransmission_timeout_value,receiver_byte_ack,receiver_seg_out,receiver_retrans,receiver_ssthresh_value,receiver_segs_in,receiver_avg_send_value,receiver_unacked_value,receiver_send_buffer_value,receiver_avg_dsack_dups_value,receiver_avg_reord_seen,receiver_rchar,receiver_wchar,receiver_syscr,receiver_syscw,receiver_read_bytes_io,receiver_write_bytes_io,receiver_num_threads,receiver_vsize,receiver_rss,receiver_cpu_usage_percentage,receiver_mem_usage_percentage,receiver_tcp_rcv_buffer_min,receiver_tcp_rcv_buffer_default,receiver_tcp_rcv_buffer_max,receiver_tcp_snd_buffer_min,receiver_tcp_snd_buffer_default,receiver_tcp_snd_buffer_max,receiver_req_waittime,receiver_req_active,receiver_read_bytes,receiver_write_bytes,receiver_ost_setattr,receiver_ost_read,receiver_ost_write,receiver_ost_get_info,receiver_ost_connect,receiver_ost_punch,receiver_ost_statfs,receiver_ost_sync,receiver_ost_quotactl,receiver_ldlm_cancel,receiver_obd_ping,receiver_pending_read_pages,receiver_read_RPCs_in_flight,receiver_avg_waittime_md,receiver_inflight_md,receiver_req_waittime_md,receiver_req_active_md,receiver_mds_getattr_md,receiver_mds_getattr_lock_md,receiver_mds_close_md,receiver_mds_readpage_md,receiver_ldlm_cancel_md,receiver_obd_ping_md,receiver_close_md,receiver_create_md,receiver_intent_lock_md,receiver_setattr_md,receiver_read_page_md,receiver_unlink_md,receiver_system_cpu_percent,receiver_system_memory_percent,receiver_nic_send_bytes,receiver_nic_receive_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_lustre_read_bytes,receiver_dtn_lustre_write_bytes,through_put,label_value
1674673145.001055,11.11,15309.4,7342.0,212.0,428.4783325195313,316338.0,742.0,7336.0,3640.0,7655.2,5369.0,7775552,0,0,458847965,185,4040,13,558133248,32768,22,36841443328,33572,61.5,0.0814126239716478,4096,33554432,268435456,4096,33554432,16777216,4877522.0,682.0,390070272.0,0.0,0.0,4877522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,566.0,0.0,6331.0,14.0,0.0,477.0,1644.0,919.0,814.0,0.0,4.0,0.0,25.0,0.0,1.0,0.0,5.1,1.7,283074,333417877,427819008.0,0.0,0.0,0.0,10.0,23.2,10.0,216.0,0.0,3355.0,0.0,0,336167.0,11.6,0,0,0,0,1112371,523632772,499,4022,47005696,523689984,21,36841304064,33018,88.1,0.080069165325148,4096,33554432,268435456,4096,33554432,268435456,2427840.0,352.0,0.0,310376704.0,0.0,0.0,2382467.0,0.0,0.0,45373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,10436.0,25.0,0.0,528.0,2387.0,857.0,1861.0,0.0,5.0,0.0,18.0,1.0,2.0,0.0,3.0,1.7,289542990,311602,0.0,436205824.0,0.0,0.0,3.847397327423096,37
1674673146.002098,11.176,15223.9,7344.0,212.0,487.4152374267578,350532.0,0.0,7336.0,2232.0,7612.1,2897.0,4194416,0,0,965968349,185,7917,13,1061449728,32768,18,36841443328,33629,45.9,0.0815508498612697,4096,33554432,268435456,4096,33554432,16777216,9027395.0,1107.0,515899392.0,0.0,0.0,9027395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4096.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.7,589942,539599759,507510784.0,0.0,390594560.0,0.0,10.0,23.2,10.0,216.0,0.0,2191.0,0.0,0,347633.0,11.6,0,0,0,0,1114484,1030343340,505,7906,47005696,1030402048,19,36841304064,33023,92.9,0.080081290403185,4096,33554432,268435456,4096,33554432,268435456,9250559.0,1004.0,0.0,432013312.0,0.0,0.0,9250559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.7,473771646,287446,0.0,0.0,0.0,361793472.0,3.835068821907044,37
1674673147.003145,11.476,14829.6,7346.0,212.0,483.9989318847656,347637.0,0.0,7336.0,2108.0,7415.1,1.0,1232,0,0,1469284829,185,11757,13,1564766208,36864,18,36841443328,33665,40.9,0.0816381504231361,4096,33554432,268435456,4096,33554432,16777216,8957166.0,1116.0,520093696.0,0.0,0.0,8957166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5120.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.7,730782,535197253,511705088.0,0.0,519569408.0,0.0,10.0,23.2,10.0,216.0,0.0,2143.0,0.0,0,349184.0,11.6,0,0,0,0,1114484,1536874356,505,11790,47005696,1536933888,19,36841304064,33062,85.9,0.0801758660118736,4096,33554432,268435456,4096,33554432,268435456,9208384.0,987.0,0.0,432013312.0,0.0,0.0,9208384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.8,447451218,274834,0.0,432013312.0,0.0,533166144.0,3.761731803417206,37
1674673148.004191,11.26,15119.8,7349.0,212.0,480.0003509521485,350595.0,57.0,7336.0,2070.0,7560.5,2898.0,4195168,0,0,1976795613,185,15629,13,2084859904,36864,18,36841443328,32808,44.0,0.0795599120475939,4096,33554432,268435456,4096,33554432,16777216,8965230.0,1107.0,515899392.0,0.0,0.0,8965230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6144.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,712198,539370965,511705088.0,0.0,516292608.0,0.0,10.0,23.2,10.0,216.0,0.0,2103.0,0.0,0,354390.0,11.6,0,0,0,0,1115927,2046558524,508,15693,47136768,2046619648,19,36841304064,33064,91.9,0.0801807160430884,4096,33554432,268435456,4096,33554432,268435456,9327848.0,994.0,0.0,436207616.0,0.0,0.0,9327848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.8,451838748,250756,0.0,432013312.0,0.0,519977104.0,3.7851836681365967,37
1674673149.005233,11.169,15245.7,7350.0,212.0,484.0006866455078,351400.0,0.0,7336.0,2002.0,7623.1,3757.0,5481296,0,0,2488501408,185,19535,13,2588176384,45056,18,36841443328,32824,44.0,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,8967159.0,1107.0,515899392.0,0.0,0.0,8967159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,838450,535400809,511705088.0,0.0,515506176.0,0.0,10.0,23.2,10.0,216.0,0.0,1936.0,0.0,0,350992.0,11.6,0,0,0,0,1115927,2555816684,508,19609,47136768,2555891712,19,36841304064,33064,90.0,0.0801807160430884,4096,33554432,268435456,4096,33554432,268435456,9308461.0,987.0,0.0,427819008.0,0.0,0.0,9308461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,415.0,1.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.8,451837606,259970,0.0,427819008.0,0.0,518636528.0,3.749337136745453,37
1674673150.006283,11.304,15063.3,7350.0,212.0,480.97777557373047,351914.0,0.0,7336.0,1826.0,7532.1,7325.0,11557784,0,0,2996012899,185,23409,13,3091492864,45056,18,36841443328,32824,44.9,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,8964614.0,1107.0,515899392.0,0.0,0.0,8964614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4096.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,638658,535463333,507510784.0,0.0,515899392.0,0.0,10.0,23.2,10.0,216.0,0.0,1835.0,0.0,0,347638.0,11.6,0,0,0,0,1116634,3062104380,510,23493,47136768,3062165504,19,36841304064,33064,79.9,0.0801807160430884,4096,33554432,268435456,4096,33554432,268435456,9337357.0,997.0,0.0,432013312.0,0.0,0.0,9337357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.9,447450096,269678,0.0,419430400.0,0.0,511705896.0,3.812133193016052,37
1674673151.007325,10.796,15772.4,7350.0,211.0,488.08067321777344,348296.0,0.0,7336.0,1871.0,7886.5,2131.0,3084584,0,0,3500115811,185,27255,13,3611586560,45056,18,36841443328,32824,41.0,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,8960754.0,1107.0,515899392.0,0.0,0.0,8960754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5120.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,748576,539306881,511705088.0,0.0,518127616.0,0.0,10.0,23.2,10.0,216.0,0.0,1885.0,0.0,0,353433.0,11.6,0,0,0,0,1117341,3572236604,512,27419,47136768,3572297728,19,36841304064,33065,81.0,0.0801831410586958,4096,33554432,268435456,4096,33554432,268435456,9223586.0,997.0,0.0,432013312.0,0.0,0.0,9223586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.9,448372110,249910,0.0,432013312.0,0.0,514517056.0,3.7909401059150696,37
1674673152.007473,11.312,15052.5,7350.0,212.0,482.94083404541016,351080.0,0.0,7336.0,1909.0,7526.7,3440.0,4981632,0,0,4011034467,185,31153,13,4114903040,45056,18,36841443328,32824,41.0,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,8988426.0,1107.0,515899392.0,0.0,0.0,8988426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6144.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.9,865902,535735443,511705088.0,0.0,517210112.0,0.0,10.0,23.2,10.0,216.0,0.0,1918.0,0.0,0,350403.0,11.6,0,0,0,0,1118048,4080008500,514,31336,47136768,4080070656,19,36841304064,33065,77.9,0.0801831410586958,4096,33554432,268435456,4096,33554432,268435456,9309117.0,993.0,0.0,432013312.0,0.0,0.0,9309117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.0,450920430,254132,0.0,427819008.0,0.0,517281064.0,3.7548828125,37
1674673153.008519,10.834,15717.6,7350.0,211.0,482.294563293457,351261.0,0.0,7336.0,1894.0,7858.8,5400.0,7862816,0,0,4518545251,185,35025,13,4618219520,45056,18,36841443328,32824,40.0,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6144.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,816682,536213517,511705088.0,0.0,512622592.0,0.0,10.0,23.2,10.0,216.0,0.0,1876.0,0.0,0,347648.0,11.6,0,0,0,0,1118048,4583719421,514,35225,47136768,4583854080,19,36841304064,33577,80.8,0.0814247490496848,4096,33554432,268435456,4096,33554432,268435456,9370537.0,1002.0,0.0,440401920.0,0.0,0.0,9370537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.0,447457262,263422,0.0,423624704.0,0.0,514801584.0,3.7890625,37
1674673154.009557,11.118,15314.9,7350.0,212.0,485.7055435180664,346558.0,0.0,7336.0,1916.0,7658.1,182.0,262928,0,0,5023041379,185,38874,13,5121536000,45056,18,36841443328,32824,43.8,0.0795987122973123,4096,33554432,268435456,4096,33554432,16777216,8968170.0,1107.0,515899392.0,0.0,0.0,8968170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.0,549040,538019521,511705088.0,0.0,511705088.0,0.0,10.0,23.2,10.0,216.0,0.0,1866.0,0.0,0,350667.0,11.6,0,0,0,0,1118757,5092147709,516,39149,47136768,5092208640,19,36841304064,33577,81.0,0.0814247490496848,4096,33554432,268435456,4096,33554432,268435456,9241223.0,1109.0,0.0,486539264.0,0.0,0.0,9241223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.0,508859638,306994,0.0,448790528.0,0.0,515687232.0,3.763671875,37
