time_stamp,sender_avg_rtt_value,sender_pacing_rate,sender_cwnd_rate,sender_avg_retransmission_timeout_value,sender_byte_ack,sender_seg_out,sender_retrans,sender_mss_value,sender_ssthresh_value,sender_segs_in,sender_avg_send_value,sender_unacked_value,sender_rcv_space,sender_send_buffer_value,sender_avg_dsack_dups_value,sender_avg_reord_seen,sender_rchar,sender_wchar,sender_syscr,sender_syscw,sender_read_bytes_io,sender_write_bytes_io,sender_cancelled_write_bytes,sender_pid,sender_ppid,sender_pgrp,sender_session,sender_tty_nr,sender_tpgid,sender_flags,sender_minflt,sender_cminflt,sender_majflt,sender_cmajflt,sender_utime,sender_stime,sender_cutime,sender_cstime,sender_priority,sender_nice,sender_num_threads,sender_itrealvalue,sender_starttime,sender_vsize,sender_rss,sender_rsslim,sender_startcode,sender_endcode,sender_startstack,sender_kstkesp,sender_kstkeip,sender_signal,sender_blocked,sender_sigignore,sender_sigcatch,sender_wchan,sender_nswap,sender_cnswap,sender_exit_signal,sender_processor,sender_rt_priority,sender_policy,sender_delayacct_blkio_ticks,sender_guest_time,sender_cguest_time,sender_start_data,sender_end_data,sender_start_brk,sender_arg_start,sender_arg_end,sender_env_start,sender_env_end,sender_exit_code,sender_cpu_usage_percentage,sender_mem_usage_percentage,sender_tcp_rcv_buffer_min,sender_tcp_rcv_buffer_default,sender_tcp_rcv_buffer_max,sender_tcp_snd_buffer_min,sender_tcp_snd_buffer_default,sender_tcp_snd_buffer_max,sender_req_waittime,sender_req_active,sender_read_bytes,sender_write_bytes,sender_ost_setattr,sender_ost_read,sender_ost_write,sender_ost_get_info,sender_ost_connect,sender_ost_punch,sender_ost_statfs,sender_ost_sync,sender_ost_quotactl,sender_ldlm_cancel,sender_obd_ping,sender_pending_read_pages,sender_read_RPCs_in_flight,sender_avg_waittime_md,sender_inflight_md,sender_unregistering_md,sender_timeouts_md,sender_req_waittime_md,sender_req_active_md,sender_mds_getattr_md,sender_mds_getattr_lock_md,sender_mds_close_md,sender_mds_readpage_md,sender_mds_connect_md,sender_mds_get_root_md,sender_mds_statfs_md,sender_mds_sync_md,sender_mds_quotactl_md,sender_mds_getxattr_md,sender_mds_hsm_state_set_md,sender_ldlm_cancel_md,sender_obd_ping_md,sender_seq_query_md,sender_fld_query_md,sender_close_md,sender_create_md,sender_enqueue_md,sender_getattr_md,sender_intent_lock_md,sender_link_md,sender_rename_md,sender_setattr_md,sender_fsync_md,sender_read_page_md,sender_unlink_md,sender_setxattr_md,sender_getxattr_md,sender_intent_getattr_async_md,sender_revalidate_lock_md,sender_system_cpu_percent,sender_system_memory_percent,sender_nic_send_bytes,sender_nic_receive_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_lustre_read_bytes,sender_dtn_lustre_write_bytes,receiver_avg_rtt_value,receiver_pacing_rate,receiver_cwnd_rate,receiver_avg_retransmission_timeout_value,receiver_byte_ack,receiver_seg_out,receiver_retrans,receiver_mss_value,receiver_ssthresh_value,receiver_segs_in,receiver_avg_send_value,receiver_unacked_value,receiver_rcv_space,receiver_send_buffer_value,receiver_avg_dsack_dups_value,receiver_avg_reord_seen,receiver_rchar,receiver_wchar,receiver_syscr,receiver_syscw,receiver_read_bytes_io,receiver_write_bytes_io,receiver_cancelled_write_bytes,receiver_pid,receiver_ppid,receiver_pgrp,receiver_session,receiver_tty_nr,receiver_tpgid,receiver_flags,receiver_minflt,receiver_cminflt,receiver_majflt,receiver_cmajflt,receiver_utime,receiver_stime,receiver_cutime,receiver_cstime,receiver_priority,receiver_nice,receiver_num_threads,receiver_itrealvalue,receiver_starttime,receiver_vsize,receiver_rss,receiver_rsslim,receiver_startcode,receiver_endcode,receiver_startstack,receiver_kstkesp,receiver_kstkeip,receiver_signal,receiver_blocked,receiver_sigignore,receiver_sigcatch,receiver_wchan,receiver_nswap,receiver_cnswap,receiver_exit_signal,receiver_processor,receiver_rt_priority,receiver_policy,receiver_delayacct_blkio_ticks,receiver_guest_time,receiver_cguest_time,receiver_start_data,receiver_end_data,receiver_start_brk,receiver_arg_start,receiver_arg_end,receiver_env_start,receiver_env_end,receiver_exit_code,receiver_cpu_usage_percentage,receiver_mem_usage_percentage,receiver_tcp_rcv_buffer_min,receiver_tcp_rcv_buffer_default,receiver_tcp_rcv_buffer_max,receiver_tcp_snd_buffer_min,receiver_tcp_snd_buffer_default,receiver_tcp_snd_buffer_max,receiver_req_waittime,receiver_req_active,receiver_read_bytes,receiver_write_bytes,receiver_ost_setattr,receiver_ost_read,receiver_ost_write,receiver_ost_get_info,receiver_ost_connect,receiver_ost_punch,receiver_ost_statfs,receiver_ost_sync,receiver_ost_quotactl,receiver_ldlm_cancel,receiver_obd_ping,receiver_pending_read_pages,receiver_read_RPCs_in_flight,receiver_avg_waittime_md,receiver_inflight_md,receiver_unregistering_md,receiver_timeouts_md,receiver_req_waittime_md,receiver_req_active_md,receiver_mds_getattr_md,receiver_mds_getattr_lock_md,receiver_mds_close_md,receiver_mds_readpage_md,receiver_mds_connect_md,receiver_mds_get_root_md,receiver_mds_statfs_md,receiver_mds_sync_md,receiver_mds_quotactl_md,receiver_mds_getxattr_md,receiver_mds_hsm_state_set_md,receiver_ldlm_cancel_md,receiver_obd_ping_md,receiver_seq_query_md,receiver_fld_query_md,receiver_close_md,receiver_create_md,receiver_enqueue_md,receiver_getattr_md,receiver_intent_lock_md,receiver_link_md,receiver_rename_md,receiver_setattr_md,receiver_fsync_md,receiver_read_page_md,receiver_unlink_md,receiver_setxattr_md,receiver_getxattr_md,receiver_intent_getattr_async_md,receiver_revalidate_lock_md,receiver_system_cpu_percent,receiver_system_memory_percent,receiver_nic_send_bytes,receiver_nic_receive_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_lustre_read_bytes,receiver_dtn_lustre_write_bytes,through_put,label_value
1674357329.677939,0.169,11055.1,81.0,201.0,143.66029357910156,104143.0,6.0,1448.0,58.0,2831.0,5552.1,82.0,29200.0,0,0,0,286489301,185,2729,13,390582272,32768,0,33878,33824,32319,19528,34817,32319,1077944320,25333,156,335,1,350,64,0,0,20,0,21,0,26683652,36840390656,33400,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,25.0,0.080995521287175,4096,87380,6291456,4096,16384,102400,5768604.0,294.0,163577856.0,0.0,0.0,5768604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3072.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.6,88790,171089480,146800640.0,0.0,124518400.0,0.0,0,0,10.0,272.0,0.0,2555.0,0,1448.0,0,109250.0,0,0,651656.0,0,0,0,1113597,226492548,503,2721,46014464,226545664,0,306,40905,40905,40905,0,-1,1077944320,25378,0,335,0,368,76,0,0,20,0,19,0,26683121,36773142528,34596,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,43.0,0.08389583995362594,4096,87380,6291456,4096,16384,4194304,471495.0,48.0,0.0,134216976.0,0.0,0.0,471495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,7551.0,18.0,0.0,502.0,2456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,149162456,192100,0.0,88080384.0,0.0,41943040.0,1.0890074372291565,38
1674357330.678962,0.196,7884.5,67.0,201.0,136.0,98749.0,1.0,1448.0,63.0,2576.0,3959.8,82.0,29200.0,0,0,0,429095637,185,3817,13,524800000,36864,0,33878,33824,32319,19528,34817,32319,1077944320,25334,156,335,1,356,80,0,0,20,0,21,0,26683652,36840390656,33400,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,22.0,0.080995521287175,4096,87380,6291456,4096,16384,102400,6516708.0,249.0,171966464.0,0.0,0.0,6516708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.6,107222,171780160,159383552.0,0.0,160694272.0,0.0,0,0,10.0,272.0,0.0,2505.0,0,1448.0,0,87123.0,0,0,850032.0,0,0,0,1114300,352321668,505,4303,46014464,352378880,0,306,40905,40905,40905,0,-1,1077944320,25380,0,335,0,372,101,0,0,20,0,19,0,26683121,36773142528,34596,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,29.0,0.08389583995362594,4096,87380,6291456,4096,16384,4194304,528993.0,63.0,0.0,150994944.0,0.0,0.0,528993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,131606148,162378,0.0,138411280.0,0.0,134217728.0,1.2844442129135132,38
1674357331.680013,0.188,10946.0,89.0,201.0,168.0,121945.0,0.0,1448.0,63.0,3176.0,5483.9,82.0,29200.0,0,0,0,605256405,185,5161,13,709349376,36864,0,33878,33824,32319,19528,34817,32319,1077944320,25334,156,335,1,363,101,0,0,20,0,21,0,26683652,36840390656,32737,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,27.9,0.0793877359394685,4096,87380,6291456,4096,16384,102400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,94862,175559282,167772160.0,0.0,142606336.0,0.0,0,0,10.0,272.0,0.0,2802.0,0,1448.0,0,110328.0,0,0,850032.0,0,0,0,1115003,511705220,507,6080,46014464,511770624,0,306,40905,40905,40905,0,-1,1077944320,25389,0,335,0,377,132,0,0,20,0,19,0,26683121,36773142528,34621,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,35.9,0.08395646534381095,4096,87380,6291456,4096,16384,4194304,688154.0,80.0,0.0,192932832.0,0.0,0.0,688154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,197402462,246628,0.0,184544976.0,0.0,155044392.0,1.3125,38
1674357332.681087,0.177,10043.3,77.0,201.0,136.0,98729.0,6.0,1448.0,61.0,2404.0,5039.4,82.0,29200.0,0,0,0,747864143,185,6253,13,843567104,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26086,156,335,1,369,120,0,0,20,0,18,0,26683652,36840390656,32795,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,25.0,0.07952838684469773,4096,87380,6291456,4096,16384,102400,5870340.0,296.0,163577856.0,0.0,0.0,5870340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,93226,165929130,167772160.0,0.0,176160768.0,0.0,0,0,10.0,272.0,0.0,3025.0,0,1448.0,0,127757.0,0,0,906560.0,0,0,0,1116442,696254757,510,8002,46145536,696324096,0,306,40905,40905,40905,0,-1,1077944320,25409,0,335,0,385,170,0,0,20,0,19,0,26683121,36773142528,34621,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,45.9,0.08395646534381095,4096,87380,6291456,4096,16384,4194304,580347.0,75.0,0.0,159383552.0,0.0,0.0,580347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,144767474,178220,0.0,167771408.0,0.0,180499928.0,1.0625,38
1674357333.682101,0.209,8198.1,74.0,201.0,158.60218811035156,115166.0,0.0,1448.0,66.0,2818.0,4101.5,54.0,29200.0,89080,0,0,915505934,185,7534,13,1011339264,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26187,156,335,1,378,142,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,32.0,0.07953323687591253,4096,87380,6291456,4096,16384,102400,7026834.0,224.0,159383552.0,0.0,0.0,7026834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,93176,184250072,159383552.0,0.0,142606336.0,0.0,0,0,10.0,272.0,0.0,3076.0,0,1448.0,0,113241.0,0,0,906560.0,0,0,0,1116442,859826069,510,9820,46145536,859906048,0,306,40905,40905,40905,0,-1,1077944320,25576,0,335,0,391,204,0,0,20,0,19,0,26683121,36773142528,34639,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,40.0,0.08400011562474416,4096,87380,6291456,4096,16384,4194304,532036.0,63.0,0.0,146799888.0,0.0,0.0,532036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7,210567152,260056,0.0,150994944.0,0.0,170002944.0,1.0625,38
1674357334.683154,0.235,9168.6,93.0,201.0,178.6470947265625,130024.0,0.0,1448.0,66.0,4660.0,4584.3,91.0,29200.0,131072,0,0,1102545678,185,8961,13,1212665856,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26187,156,335,1,387,168,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,34.0,0.07953323687591253,4096,87380,6291456,4096,16384,102400,6760780.0,282.0,167772160.0,0.0,0.0,6760780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7,92504,166702648,159383552.0,0.0,184549376.0,0.0,0,0,10.0,272.0,0.0,2623.0,0,1448.0,0,100833.0,0,0,906560.0,0,0,0,1117147,1006239285,512,11320,46145536,1006321664,0,306,40905,40905,40905,0,-1,1077944320,25925,0,335,0,397,236,0,0,20,0,19,0,26683121,36773142528,34653,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,38.0,0.08403406584324777,4096,87380,6291456,4096,16384,4194304,559217.0,64.0,0.0,163577856.0,0.0,0.0,559217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.7,157926444,196094,0.0,159382800.0,0.0,148764160.0,1.5,38
1674357335.684214,0.173,10926.1,82.0,201.0,142.75071716308594,103574.0,0.0,1448.0,69.0,2416.0,5490.7,91.0,29200.0,0,0,0,1251181326,185,10095,13,1346883584,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26187,156,335,1,393,187,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,24.9,0.07953323687591253,4096,87380,6291456,4096,16384,102400,6528652.0,330.0,167772160.0,0.0,0.0,6528652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1024.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.7,98822,166703152,171966464.0,0.0,184549376.0,0.0,0,0,10.0,272.0,0.0,4009.0,0,1448.0,0,123072.0,0,0,906560.0,0,0,0,1117854,1182794021,514,13277,46145536,1182896128,0,306,40905,40905,40905,0,-1,1077944320,25934,0,335,0,403,273,0,0,20,0,19,0,26683121,36773142528,34654,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,42.9,0.08403649085885516,4096,87380,6291456,4096,16384,4194304,618592.0,75.0,0.0,176154808.0,0.0,0.0,618592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.7,157919758,196560,0.0,180352120.0,0.0,150994944.0,1.0525605082511902,38
1674357336.685279,0.251,6178.1,67.0,201.0,168.0,122136.0,1.0,1448.0,63.0,3468.0,3092.1,91.0,29200.0,0,0,0,1427342094,185,11439,13,1531432960,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26204,156,335,1,399,212,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,31.0,0.07953323687591253,4096,87380,6291456,4096,16384,102400,6329550.0,203.0,159383552.0,0.0,0.0,6329550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7,100298,179864296,155189248.0,0.0,134217728.0,0.0,0,0,10.0,272.0,0.0,3103.0,0,1448.0,0,116252.0,0,0,906560.0,0,0,0,1118561,1350566181,516,15050,46145536,1350672384,0,306,40905,40905,40905,0,-1,1077944320,25992,0,335,0,408,307,0,0,20,0,19,0,26683121,36773142528,34654,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,39.0,0.08403649085885516,4096,87380,6291456,4096,16384,4194304,635492.0,74.0,0.0,176160016.0,0.0,0.0,635492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,184251738,229108,0.0,130020416.0,0.0,186370600.0,1.3833523392677307,38
1674357337.686342,0.293,6958.3,88.0,201.0,152.0,110346.0,0.0,1448.0,63.0,2650.0,3479.2,91.0,29200.0,0,0,0,1586725646,185,12655,13,1682427904,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26204,156,335,1,404,232,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,25.0,0.07953323687591253,4096,87380,6291456,4096,16384,102400,6294043.0,325.0,176160768.0,0.0,0.0,6294043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,616.0,0.0,0.0,0.0,466.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,94478,171088490,167772160.0,0.0,176160768.0,0.0,0,0,10.0,272.0,0.0,3562.0,0,1448.0,0,123374.0,0,0,906560.0,0,0,0,1118561,1529479622,516,17101,46145536,1529597952,0,306,40905,40905,40905,0,-1,1077944320,26175,0,335,0,414,342,0,0,20,0,19,0,26683121,36773142528,35166,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,41.0,0.08527809884984419,4096,87380,6291456,4096,16384,4194304,624560.0,82.0,0.0,176157064.0,0.0,0.0,624560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.7,152163638,180490,0.0,188739976.0,0.0,171500096.0,1.235025405883789,38
1674357338.68744,0.188,11214.3,91.0,201.0,143.25,104043.0,0.0,1448.0,63.0,1698.0,5607.1,90.0,29200.0,131072,0,0,1737720590,185,13807,13,1833422848,49152,0,33878,33824,32319,19528,34817,32319,1077944320,26206,156,335,1,411,252,0,0,20,0,18,0,26683652,36840390656,32797,18446744073709551615,94840323563520,94840323567572,140735913194096,140735913176544,139692455170007,0,0,2,16800973,18446744073709551615,0,0,17,2,0,0,32,0,0,94840325668072,94840325668880,94840330674176,140735913194992,140735913195194,140735913195194,140735913197550,0,28.0,0.07953323687591253,4096,87380,6291456,4096,16384,102400,8347103.0,305.0,159383552.0,0.0,0.0,8347103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,82324,175476270,163577856.0,0.0,174456832.0,0.0,0,0,10.0,272.0,0.0,1341.0,0,1448.0,0,85743.0,0,0,906560.0,0,0,0,1118561,1652549686,516,18105,46145536,1652670464,0,306,40905,40905,40905,0,-1,1077944320,26175,0,335,0,419,370,0,0,20,0,19,0,26683121,36773142528,35166,18446744073709551615,93956858228736,93956858232788,140734238232576,140734238215024,140510575570903,0,0,0,16800975,18446744073709551615,0,0,17,13,0,0,30,0,0,93956860333288,93956860334096,93956888653824,140734238235994,140734238236136,140734238236136,140734238236650,0,33.0,0.08527809884984419,4096,87380,6291456,4096,16384,4194304,491588.0,49.0,0.0,138412032.0,0.0,0.0,491588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,207552118,261348,0.0,180354320.0,0.0,179000216.0,1.0140252113342285,38
